Widget Type	Widget ID	Title	Subtitle	Status	Sequence	Image	Redirect Link	Category ID	Category Name	Priority	Product ID	Name	Price	Discount	Rating	ID	Created Date	Updated Date	Owner	Main Categore ID	Sub Categore ID	Page	warehouseID	widgetProducts	Title Image	ShowMore	ShowMore Page	widgetbackground color	Show More Button Color	Text Color	Placement	Divert Category ID
Lite_Shopbycategory		Shop By Category		FALSE	2	https://static.wixstatic.com/media/11062b_4d9a484aac644a44a9fdb3f019dfce7c~mv2.jpg	Product page	c6d480e9-52c4-7b1c-c14c-de187bb61f3c	New Releases	3	prod3001	Smartwatch	149.99	10	4.3	02455d9d-abd6-4739-8417-05b3ac7f07a3	2026-05-05T07:18:38Z	2026-06-28T18:38:24Z	73d0ef6d-353d-4d6b-98ea-f32fbb3a2475				WH00001									c6d480e9-52c4-7b1c-c14c-de187bb61f3c
Lite_hurryDeals		Hurry Deals			4	wix:image://v1/73d0ef_e21d961b91644e759cbd8dd7b710851f~mv2.png/1.png#originWidth=1080&originHeight=1350	Product page	c6d480e9-52c4-7b1c-c14c-de187bb61f3c			prod5001					1fdd8b00-3e90-4a08-95a8-793361e003f6	2026-05-07T05:22:03Z	2026-06-28T18:38:24Z	73d0ef6d-353d-4d6b-98ea-f32fbb3a2475				WH00001								Small Sale 1	c6d480e9-52c4-7b1c-c14c-de187bb61f3c
Lite_hurryDeals		Hurry Deals			4	wix:image://v1/73d0ef_3fa95ea0ea534f00bc2bb7efcf6f499b~mv2.gif/CRazy.gif#originWidth=1080&originHeight=1920	Product page	c6d480e9-52c4-7b1c-c14c-de187bb61f3c			prod5001					5ae5ecb7-cd67-4575-8132-8ab3e65d2ed1	2026-05-07T05:20:20Z	2026-06-28T18:38:24Z	73d0ef6d-353d-4d6b-98ea-f32fbb3a2475				WH00001								Big Sale	c6d480e9-52c4-7b1c-c14c-de187bb61f3c
Lite_Shopbycategory		Shop By Category		FALSE	2	https://static.wixstatic.com/media/11062b_4d9a484aac644a44a9fdb3f019dfce7c~mv2.jpg	Product page	c6d480e9-52c4-7b1c-c14c-de187bb61f3c	New Releases	3	prod3001	Smartwatch	149.99	10	4.3	7d5aa2ae-ca80-40b8-84a2-ed6a291365bc	2026-04-22T08:24:05Z	2026-06-28T18:38:24Z	73d0ef6d-353d-4d6b-98ea-f32fbb3a2475				WH00001									c6d480e9-52c4-7b1c-c14c-de187bb61f3c
Lite_Promobanner				FALSE	1	wix:image://v1/73d0ef_180e12b85b6a4e3187431f14f99a0c4d~mv2.gif/Summer%20Sales%20(5).gif#originWidth=1080&originHeight=350	Category Page	c6d480e9-52c4-7b1c-c14c-de187bb61f3c	Seasonal Offers	1						92dbc201-97c0-45ec-9e8d-c3fe79131671	2026-04-22T08:24:05Z	2026-06-28T18:38:24Z	73d0ef6d-353d-4d6b-98ea-f32fbb3a2475				WH00001									c6d480e9-52c4-7b1c-c14c-de187bb61f3c
Lite_Shopbycategory		Shop By Category		FALSE	2	https://static.wixstatic.com/media/11062b_4d9a484aac644a44a9fdb3f019dfce7c~mv2.jpg	Category Page	c6d480e9-52c4-7b1c-c14c-de187bb61f3c	Subscription	4	prod4001	N/A	0	0	0	962a139d-98be-45c3-b4f2-04300ab74ac7	2026-05-05T07:16:45Z	2026-06-28T18:38:24Z	73d0ef6d-353d-4d6b-98ea-f32fbb3a2475				WH00001									c6d480e9-52c4-7b1c-c14c-de187bb61f3c
Lite_hurryDeals		Hurry Deals			4	wix:image://v1/73d0ef_9e22ef1e897544149a8a5717a64f03e2~mv2.png/2.png#originWidth=1080&originHeight=1350	Category Page	c6d480e9-52c4-7b1c-c14c-de187bb61f3c			prod5001					9b05dad5-29dc-46ca-a8c0-550907638884	2026-05-07T05:22:06Z	2026-06-28T18:38:24Z	73d0ef6d-353d-4d6b-98ea-f32fbb3a2475				WH00001								Small Sale 2	c6d480e9-52c4-7b1c-c14c-de187bb61f3c
Lite_freshmarketSection		Customer Reviews	What our customers say	TRUE	3	https://static.wixstatic.com/media/11062b_7c885eec211345eb95028ee70baf5bac~mv2.jpg	Product page	c6d480e9-52c4-7b1c-c14c-de187bb61f3c	Feedback	5	prod5001	Gaming Laptop	1299.99	25	4.7	bec04089-cfc0-4ea2-b29f-dce245fc9621	2026-04-22T08:24:05Z	2026-06-28T18:38:21Z	73d0ef6d-353d-4d6b-98ea-f32fbb3a2475				WH00001	[{"weight":"250g","name":"Men Cotton T-Shirt","recipe":20,"onsale_price":499,"ProductImage":"https://static.wixstatic.com/media/11062b_6d9d0c897ef1496e9745a326e9c03586~mv2.jpg","page":"Product page","productid":"P1001","Price":799,"ribbon":"Season's Sales"},{"weight":"400g","name":"Women Casual Dress","recipe":30,"onsale_price":999,"ProductImage":"https://static.wixstatic.com/media/11062b_6d9d0c897ef1496e9745a326e9c03586~mv2.jpg","page":"Product page","productid":"P1002","Price":1499,"ribbon":"Season's Sales"},{"weight":"300g","name":"Bluetooth Headphones","recipe":21,"onsale_price":1999,"ProductImage":"https://static.wixstatic.com/media/11062b_6d9d0c897ef1496e9745a326e9c03586~mv2.jpg","page":"Product page","productid":"P1003","Price":2999,"ribbon":"Season's Sales"},{"weight":"800g","name":"Sports Running Shoes","recipe":18,"onsale_price":1799,"ProductImage":"https://static.wixstatic.com/media/11062b_6d9d0c897ef1496e9745a326e9c03586~mv2.jpg","page":"Product page","productid":"P1004","Price":2499,"ribbon":""},{"weight":"150g","name":"Smart Watch","recipe":25,"onsale_price":2499,"ProductImage":"https://static.wixstatic.com/media/11062b_6d9d0c897ef1496e9745a326e9c03586~mv2.jpg","page":"Product page","productid":"P1005","Price":3999,"ribbon":""}]	wix:image://v1/73d0ef_146dcdfe5e584574a2519837992c39b9~mv2.gif/Summer%20Sales.gif#originWidth=1080&originHeight=420	TRUE	Category Page	#000080	#FFA500	#FFFFFF		c6d480e9-52c4-7b1c-c14c-de187bb61f3c
Lite_Shopbycategory		Shop By Category		FALSE	2	https://static.wixstatic.com/media/11062b_4d9a484aac644a44a9fdb3f019dfce7c~mv2.jpg	Category Page	c6d480e9-52c4-7b1c-c14c-de187bb61f3c	Subscription	4	prod4001	N/A	0	0	0	ccd9f922-f9fe-40bc-af45-d8a38fb0574a	2026-04-22T08:24:05Z	2026-06-28T18:38:24Z	73d0ef6d-353d-4d6b-98ea-f32fbb3a2475				WH00001									c6d480e9-52c4-7b1c-c14c-de187bb61f3c
Lite_hurryDeals		Hurry Deals			4	wix:image://v1/73d0ef_9e22ef1e897544149a8a5717a64f03e2~mv2.png/2.png#originWidth=1080&originHeight=1350	Product page	c6d480e9-52c4-7b1c-c14c-de187bb61f3c			prod5001					cd8f6a21-9d4d-4268-949a-6183c5b07f91	2026-05-07T05:22:09Z	2026-06-28T18:38:24Z	73d0ef6d-353d-4d6b-98ea-f32fbb3a2475				WH00001								Small Sale 3	c6d480e9-52c4-7b1c-c14c-de187bb61f3c
